transaction_id,age,country,device_type,transaction_amount,hour_of_day,num_prev_txns,is_international,fraud
tx_000000,24,IN,tablet,147.21,13,1,0,0
tx_000001,70,NG,mobile,344.35,0,3,0,0
tx_000002,62,GB,mobile,128.03,21,6,0,0
tx_000003,47,BR,mobile,296.09,8,1,0,0
tx_000004,47,DE,mobile,142.9,17,2,0,0
tx_000005,76,DE,desktop,397.37,15,2,0,0
tx_000006,23,CA,mobile,28.82,8,4,0,0
tx_000007,65,BR,desktop,61.46,8,4,1,0
tx_000008,31,US,mobile,176.99,13,2,0,0
tx_000009,24,IN,mobile,109.69,9,2,1,0
tx_000010,53,US,mobile,139.22,4,3,1,0
tx_000011,84,US,desktop,321.07,17,4,0,0
tx_000012,68,BR,mobile,136.74,16,7,0,0
tx_000013,69,DE,tablet,255.19,14,5,0,0
tx_000014,66,US,mobile,89.77,17,2,0,0
tx_000015,71,NG,mobile,21.49,12,4,0,0
tx_000016,52,BR,desktop,342.83,22,2,0,0
tx_000017,26,FR,mobile,634.04,21,4,1,1
tx_000018,75,BR,desktop,235.61,23,2,0,0
tx_000019,48,US,mobile,184.86,2,2,0,0
tx_000020,52,US,desktop,217.06,2,6,0,0
tx_000021,43,BR,mobile,498.37,11,1,0,0
tx_000022,30,US,tablet,237.75,16,1,0,0
tx_000023,81,FR,mobile,354.76,5,3,0,1
tx_000024,71,FR,desktop,343.68,2,2,0,0
tx_000025,61,FR,mobile,421.01,0,2,0,0
tx_000026,45,CA,desktop,181.68,13,6,0,0
tx_000027,73,BR,desktop,126.54,23,3,0,0
tx_000028,55,BR,desktop,298.5,11,4,0,0
tx_000029,48,US,mobile,400.49,17,5,0,0
tx_000030,48,CA,mobile,454.18,1,9,0,0
tx_000031,33,US,desktop,540.49,5,4,0,1
tx_000032,24,GB,mobile,375.58,16,2,0,0
tx_000033,55,FR,desktop,120.54,9,2,0,0
tx_000034,78,DE,mobile,235.4,0,2,0,0
tx_000035,22,CA,mobile,219.79,5,4,0,1
tx_000036,76,NG,mobile,201.71,19,1,0,0
tx_000037,74,US,desktop,298.94,16,1,0,0
tx_000038,36,CA,mobile,168.47,19,2,0,0
tx_000039,60,US,mobile,168.67,8,4,0,0
tx_000040,29,BR,desktop,659.97,22,1,0,1
tx_000041,69,BR,mobile,189.35,22,0,0,0
tx_000042,65,DE,desktop,418.9,8,2,0,0
tx_000043,42,DE,mobile,435.84,4,3,0,0
tx_000044,22,US,mobile,240.35,23,3,0,0
tx_000045,84,DE,mobile,174.1,8,1,1,0
tx_000046,48,US,mobile,93.23,11,3,0,0
tx_000047,78,GB,desktop,39.27,22,4,0,0
tx_000048,64,IN,mobile,314.6,6,2,0,0
tx_000049,70,US,mobile,270.05,21,1,0,0
tx_000050,69,US,mobile,348.48,3,2,0,0
tx_000051,31,CA,desktop,133.63,7,1,1,0
tx_000052,42,US,desktop,704.76,9,0,0,0
tx_000053,49,FR,mobile,287.85,11,2,1,1
tx_000054,51,CA,mobile,183.7,5,5,0,0
tx_000055,20,IN,mobile,19.68,21,0,0,0
tx_000056,55,FR,desktop,146.71,15,0,0,0
tx_000057,28,NG,mobile,360.3,16,3,0,0
tx_000058,68,IN,mobile,531.06,17,5,0,0
tx_000059,64,FR,desktop,207.22,15,6,0,0
tx_000060,80,US,mobile,590.24,15,2,0,0
tx_000061,68,US,desktop,86.72,15,3,0,0
tx_000062,42,NG,mobile,276.11,17,2,1,0
tx_000063,83,IN,tablet,281.88,22,1,1,0
tx_000064,45,DE,mobile,316.42,4,2,0,0
tx_000065,40,US,mobile,229.7,12,1,0,1
tx_000066,79,BR,mobile,265.07,4,1,0,0
tx_000067,43,BR,mobile,84.77,4,0,0,0
tx_000068,23,FR,desktop,496.83,22,3,0,0
tx_000069,49,US,mobile,390.57,11,3,0,0
tx_000070,72,US,mobile,257.4,16,2,0,0
tx_000071,30,FR,desktop,396.98,17,1,0,0
tx_000072,49,BR,mobile,507.66,0,2,0,0
tx_000073,26,US,desktop,313.12,11,1,0,0
tx_000074,64,US,desktop,755.44,4,2,0,0
tx_000075,50,DE,mobile,332.04,7,4,0,0
tx_000076,40,NG,desktop,97.7,4,1,0,0
tx_000077,33,NG,desktop,247.82,15,2,0,0
tx_000078,56,DE,desktop,407.83,3,2,0,0
tx_000079,63,US,mobile,507.99,10,2,0,0
tx_000080,81,US,mobile,233.42,7,2,1,0
tx_000081,47,BR,desktop,90.69,23,3,0,0
tx_000082,28,DE,mobile,171.08,18,5,0,0
tx_000083,74,CA,mobile,56.56,8,3,0,0
tx_000084,60,BR,mobile,356.68,7,4,0,0
tx_000085,65,US,desktop,145.18,17,2,0,0
tx_000086,24,US,desktop,112.18,15,3,0,0
tx_000087,39,FR,desktop,381.53,13,2,0,0
tx_000088,70,US,desktop,582.31,1,7,0,0
tx_000089,74,US,mobile,111.74,1,8,0,0
tx_000090,47,DE,mobile,234.58,15,1,0,0
tx_000091,72,GB,mobile,176.92,11,2,0,0
tx_000092,75,GB,mobile,523.98,19,1,0,0
tx_000093,44,DE,mobile,193.5,0,2,0,0
tx_000094,79,US,tablet,82.82,4,3,1,0
tx_000095,37,BR,mobile,200.83,18,5,0,0
tx_000096,34,CA,mobile,451.43,23,3,1,0
tx_000097,64,US,mobile,168.65,17,4,1,0
tx_000098,61,BR,mobile,122.35,0,4,0,0
tx_000099,27,CA,mobile,186.69,1,3,0,0
tx_000100,74,DE,mobile,85.37,21,3,1,0
tx_000101,31,FR,mobile,176.73,11,8,0,0
